schedule,delta_type,beta,delta_label,epsilon_hat,KL_hat,S_hat,RHS,ratio,bound_satisfied
a2,constant,0.0,"δ(t)=0.0",0.0,3.0296655029193874e-07,2.0504287578286693e-09,0.0,0.0,True
a2,constant,0.05,"δ(t)=0.05",0.08218445763381799,0.004028474871049622,0.004319303487106643,0.005401278282417857,0.7458373111718831,True
a2,constant,0.1,"δ(t)=0.1",0.16455975562714786,0.017601268643734406,0.015787699687087323,0.020676787388590814,0.8512574179413654,True
a2,constant,0.2,"δ(t)=0.2",0.32896816370425924,0.06458777781135316,0.05538284288468797,0.07741791896822711,0.8342742697315394,True
