schedule,delta_type,beta,delta_label,epsilon_hat,KL_hat,S_hat,RHS,ratio,bound_satisfied
a1,constant,0.0,"δ(t)=0.0",0.0,1.1892226867660227e-08,2.2081783825673456e-07,0.0,0.0,True
a1,constant,0.05,"δ(t)=0.05",0.10206680109430454,0.004028580755877663,0.002394207084265946,0.004994193434563439,0.8066529277774792,True
a1,constant,0.1,"δ(t)=0.1",0.20433555111360766,0.01760116379644604,0.008803625437577093,0.01917232188621795,0.9180507139877858,True
a1,constant,0.2,"δ(t)=0.2",0.40836231704913306,0.06458798987352248,0.03124985931028178,0.07218877839157228,0.894709556147065,True
