schedule,delta_type,beta,delta_label,epsilon_hat,KL_hat,S_hat,RHS,ratio,bound_satisfied
a2,sine,0.05,"δ(t)=0.05·sin(2πt)",0.05796667082441554,-4.2139805260819065e-07,0.0005437038826061691,0.0013516354558830716,-0.00031176901343778104,True
a2,sine,0.1,"δ(t)=0.1·sin(2πt)",0.11557054152253879,-1.0767949146181176e-06,0.0020594086318122197,0.005244672964149995,-0.00020531211802500522,True
