schedule,delta_type,beta,delta_label,epsilon_hat,KL_hat,S_hat,RHS,ratio,bound_satisfied
a3,constant,0.0,"δ(t)=0.0",0.0,-3.4075756065310435e-06,2.102281326429253e-08,0.0,0.0,True
a3,constant,0.05,"δ(t)=0.05",0.06512450894455236,0.004026458591220188,0.007364567733344994,0.005588793871189894,0.7204521555136415,True
a3,constant,0.1,"δ(t)=0.1",0.13039238722569715,0.01759930967827528,0.026939350585170357,0.0214015780612108,0.8223370084177613,True
a3,constant,0.2,"δ(t)=0.2",0.2607211603075286,0.06458813231025419,0.09462840985124979,0.08020234218017809,0.8053147895002132,True
