schedule,delta_type,beta,delta_label,epsilon_hat,KL_hat,S_hat,RHS,ratio,bound_satisfied
a1,constant,0.0,"δ(t)=0.0",0.0,1.5316903326922927e-08,4.656417476264775e-07,0.0,0.0,True
a1,constant,0.1,"δ(t)=0.1",0.2058322331599628,0.017392698342567865,0.008938898350309898,0.01946056232190635,0.8937407899559647,True
