schedule,delta_type,beta,delta_label,epsilon_hat,KL_hat,S_hat,RHS,ratio,bound_satisfied
a1,constant,0.05,"δ(t)=0.05",0.10235868815111324,0.005255980160866064,0.002463479252835879,0.005080414721043675,1.034557304760018,False
a1,constant,0.1,"δ(t)=0.1",0.20413360218860907,0.017191660346712753,0.008960587083849931,0.019323363860221494,0.8896825868969428,True
a1,constant,0.2,"δ(t)=0.2",0.4086711022272153,0.06826649089438407,0.03094890359342951,0.07189464825036258,0.9495350844009419,True
